alias,truename
kolibaparkandride,Koliba P+R
hrachova,Hrachová
kupaliskolamac,Kúpalisko Lamač
hanyponickej,Hany Ponickej
hrubeluky,Hrubé lúky
mustova,Muštová
krizovepolia,Krížové polia
letiskocargo,"Letisko, cargo"
letovesluzby,Letové služby
galvaniho,Galvaniho
namslobody,Nám. slobody
cunovopriehrada,"Čunovo, Priehrada"
kacinskadolina,Kačínska Dolina
drozdova,Drozdová
svoradova,Svoradová
ovocna,Ovocná
grofskaniva,Grófska Niva
konopiska,Konopiská
vladimirajukla,Vladimíra Jukla
slanec,Slanec
podvrskami,Pod vŕškami
oceinsteinova,OC Einsteinova
stachanovska,Stachanovská
bystrickesady,Bystrické sady
ligurcekova,Ligurčeková
jelacicova,Jelačičová
alejova,Alejová
farmarska,Farmárska
gorazdova,Gorazdova
bodvianska,Bodvianska
napajiska,Napájiská
ovciarska,Ovčiarska
horarenkrasnany,Horáreň Krasňany
palenisko,Pálenisko
nemocnicabory,Nemocnica Bory
mokrad,Mokraď
bratska,Bratská
nesto,Nesto
kulhan,Kulháň
kacin,Kačín
priletisku,Pri Letisku
municnesklady,Muničné sklady
cienyles,Čierny les
