uid,district,truename
321,Podunajské Biskupice,Priekopnícka
322,Rača,Mikulášov dvor
323,Lamač,Pod Zečákom
324,Ružinov,"Prievoz, most"
325,Ružinov,Prievozská
326,Ružinov,Nákladný prístav
327,Ružinov,Prístavná
328,Ružinov,Prístavný most
329,Podunajské Biskupice,Plniareň plynu
330,Staré Mesto,Prokopa Veľkého
331,Rača,MiÚ Rača
332,Nové Mesto,Račianske mýto
333,Ružinov,Rádiová
334,Ružinov,Radničné nám.
335,Staré Mesto,Radvanská
336,Staré Mesto,Rajská
337,Nové Mesto,Riazanská
338,Vrakuňa,Ríbezľová
340,Petržalka,Romanova
341,Nové Mesto,Shopping Palace
342,Rusovce,Gerulata
343,Petržalka,Rusovská cesta
344,Ružinov,Súhvezdná
345,Ružinov,Ružová dolina
346,Nové Mesto,Drieňovské lúky
347,Ružinov,Sabinovská
348,Petržalka,Sad Janka Kráľa
349,Jarovce,Sady
350,Devínska Nová Ves,Morava
352,Lamač,Segnáre
353,Karlova Ves,Segnerova
354,Devínska Nová Ves,Jána Jonáša
355,Rača,Sklabinská
356,Záhorská Bystrica,Podkerepušky
357,Karlova Ves,Cintorín Slávičie
358,Karlova Ves,Zoo
359,Nové Mesto,Sliačska
360,Staré Mesto,Slov. nár. archív
361,Ružinov,Slovinská
362,Ružinov,Vlčie hrdlo
363,Ružinov,Zajačie
364,Podunajské Biskupice,Slovnaftská
365,Ružinov,Slowackého
366,Petržalka,Malý Draždiak
367,Petržalka,Smolenická
368,Staré Mesto,Sokolská
369,Ružinov,Solivarská
370,Devínska Nová Ves,Mláka
371,Záhorská Bystrica,Strmé vŕšky
372,Ružinov,Spaľovňa
373,Ružinov,Spoločenská
374,Ružinov,Na križovatkách
375,Nové Mesto,Staré ihrisko
376,Petržalka,Starohájska
377,Devín,Starý kameňolom
378,Vrakuňa,Stavbárska
380,Rača,Staviteľská
381,Rača,Stavivá
382,Dúbravka,Húščavova
383,Rača,Stolárska
384,Petržalka,Strečnianska
385,Jarovce,Strelnica
386,Ružinov,Strojnícka
387,Devínska Nová Ves,Panské
388,Nové Mesto,Stromová
389,Lamač,Studenohorská
390,Petržalka,Pri Sade
391,Ružinov,Súmračná
392,Nové Mesto,NÚSCH
394,Staré Mesto,Šafárikovo nám.
395,Staré Mesto,Šafranová
398,Podunajské Biskupice,Šikmá
399,Petržalka,Šintavská
400,Vrakuňa,Šípová
401,Vrakuňa,MiÚ Vrakuňa
402,Staré Mesto,Šoltésovej
403,Staré Mesto,Špitálska
404,Vajnory,Šprinclov majer
408,Podunajské Biskupice,Topoľové
409,Rusovce,Gaštanová aleja
410,Devínska Nová Ves,Štefana Králika
412,Dúbravka,Štepná
413,Devín,Štrbská
415,Staré Mesto,Šulekova
416,Petržalka,Šustekova
417,Petržalka,Švabinského
418,Dúbravka,Švantnerova
419,Rača,Tbiliská
420,Nové Mesto,Tehelná
422,Staré Mesto,STU
423,Ružinov,Technická
424,Dúbravka,Technické sklo
425,Rača,Púchovská
426,Petržalka,Kutlíkova
427,Karlova Ves,Televízia
428,Ružinov,Piesčiny
429,Podunajské Biskupice,Vinohradnícka
430,Ružinov,Úrad BSK
431,Karlova Ves,Tománkova
432,Ružinov,Tomášikova
433,Petržalka,Topoľčianska
434,Vrakuňa,Toryská
435,Rača,Trávna
436,Ružinov,Trenčianska
437,Nové Mesto,Trnavské mýto
438,Nové Mesto,Trojdomy
439,Staré Mesto,Chatam Sófer
440,Nové Mesto,Tupého
441,Záhorská Bystrica,Bratislavská
442,Podunajské Biskupice,Učiteľská
443,Vajnory,Uhliská
444,Staré Mesto,29. augusta
