uid,district,truename,alias
700,Lamač,OC Bory,ocbory
701,Strmý vŕšok,Rudavská,rudavska
702,Strmý vŕšok,Pri kaplnke,prikaplnke
705,Ružinov,Pharos,pharos
707,Karlova Ves,OC Patrónka,ocpatronka
708,Čunovo,MVE Mošoň,mvemoson
709,Rača,Rostovská,rostovska
710,Devínska Nová Ves,"Opletalova, VW5",opetalovavw5
711,Vrakuňa,Arménska,armenska
712,Rača,Cudzinecká polícia,cudzineckapolicia
713,Rača,Detvianska,detvianska
714,Staré Mesto,Úrad vlády SR,uradvladysr
715,Rača,OC Rača,ocraca
716,Nové Mesto,ZŠ Odborárska,zsodborarska
719,Nové Mest,Koliba P+R,kolibaparkandride
720,Ružinov,Hrachová,hrachova
721,Lamač,Kúpalisko Lamač,kupaliskolamac
722,Lamač,Hany Ponickej,hanyponickej
723,Lamač,Hrubé lúky,hrubeluky
724,Nové Mesto,Muštová,mustova
725,Ružinov,Krížové polia,krizovepolia
726,Ružinov,"Letisko, cargo",letiskocargo
727,Ružinov,Letové služby,letovesluzby
728,Ružinov,Galvaniho,galvaniho
740,Staré Mesto,Nám. slobody,namslobody
741,Čunovo,"Čunovo, Priehrada",cunovopriehrada
742,Nové Mesto,Kačínska Dolina,kacinskadolina
743,Rača,Drozdová,drozdova
744,Staré Mesto,Svoradová,svoradova
746,Jarovce,Ovocná,ovocna
748,Ružinov,Grófska Niva,grofskaniva
749,Čunovo,Konopiská,konopiska
750,Lamač,Vladimíra Jukla,vladimirajukla
751,Rača,Slanec,slanec
752,Záhorská Bystrica,Pod vŕškami,podvrskami
753,Petržalka,OC Einsteinova,oceinsteinova
754,Ružinov,Stachanovská,stachanovska
755,Záhorská Bystrica,Bystrické sady,bystrickesady
756,Podunajské Biskupice,Ligurčeková,ligurcekova
757,Ružinov,Jelačičová,jelacicova
758,Ružinov,Alejová,alejova
759,Podunajské Biskupice,Farmárska,farmarska
760,Staré Mesto,Gorazdova,gorazdova
761,Vrakuňa,Bodvianska,bodvianska
762,Devínska Nová Ves,Napájiská,napajiska
763,Podunajské Biskupice,Ovčiarska,ovciarska
764,Rača,Horáreň Krasňany,horarenkrasnany
765,Ružinov,Pálenisko,palenisko
767,Lamač,Nemocnica Bory,nemocnicabory
768,Rača,Mokraď,mokrad
769,Petržalka,Bratská,bratska
770,Petržalka,Nesto,nesto
771,Záhorská Bystrica,Kulháň,kulhan
773,Nové Mesto,Kačín,kacin
774,Ružinov,Pri Letisku,priletisku
775,Rača,Muničné sklady,municnesklady
776,Ružinov,Čierny les,cienyles
